"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bangladesh","BGD","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","5.2636","6.63403","6.39411","6.47326","8.08761999999999","8.38862999999999","9.13005","10.46843","","","11.19103","11.0621","12.53667","12.11385","","","","15.19687","","18.12979","20.49042","18.58478","15.6938","16.68163","15.95312","","17.33653","18.1534","17.81619","14.02987","","16.79397","15.59324","13.82282","","","11.41942","","",
"Bulgaria","BGR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95102","","","9.27774","9.65432","11.18025","6.703","12.07252","12.01048","11.11392","12.61226","12.65675","11.16342","11.10005","10.69092","11.4398","","","","","",
"Bahrain","BHR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.91866","11.02673","10.55867","","","","8.28844999999999","7.21531","8.68403","7.29736","7.50266","","",
"Bahamas, The","BHS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.92281","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.55235","12.62011","12.45032","10.13372","","8.44955","11.77813","11.62665","12.7523","12.27399","12.40672","11.01362","10.79874","11.0986","",
"Belize","BLZ","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.89415","16.05444","18.30537","","16.15851","16.82134","","","","19.60072","21.77003","23.05208","","","23.02396","20.91554","21.15392","19.86944","21.68102","",
"Bermuda","BMU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0366","11.11385","12.1054","","","","13.97043","12.93424","","","","7.79644","9.0188","","7.77347","",
"Bolivia","BOL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.88842","24.43961","21.03771","","18.42669","19.27241","18.67085","18.46146","18.71381","19.94096","","","21.1625","","19.92381","22.56084","24.12779","19.48311","17.82895","16.28364","16.8421","","","","",
"Brazil","BRA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.62986","9.60027","11.45216","10.61096","9.6373","","10.39439","11.25736","12.42332","13.21851","14.08216","14.72369","14.56038","15.26904","15.7277","15.59267","15.71933","16.24898","","","",
